"","Threshold","power_open","dcy_indx","PXID"
"152","0.038","1122","1","PXD006856"
"153","0.039","1122","1","PXD006856"
"154","0.04","1127","1","PXD006856"
"155","0.041","1128","1","PXD006856"
"156","0.042","1128","1","PXD006856"
"157","0.043","1130","1","PXD006856"
"158","0.044","1130","1","PXD006856"
"159","0.045","1130","1","PXD006856"
"160","0.046","1134","1","PXD006856"
"161","0.047","1137","1","PXD006856"
"162","0.048","1138","1","PXD006856"
"163","0.049","1139","1","PXD006856"
"164","0.05","1142","1","PXD006856"
"165","0.01","9102","0","PXD008920"
"166","0.011","9116","0","PXD008920"
"167","0.012","9129","0","PXD008920"
"168","0.013","9146","0","PXD008920"
"169","0.014","9162","0","PXD008920"
"170","0.015","9175","0","PXD008920"
"171","0.016","9194","0","PXD008920"
"172","0.017","9203","0","PXD008920"
"173","0.018","9214","0","PXD008920"
"174","0.019","9234","0","PXD008920"
"175","0.02","9247","0","PXD008920"
"176","0.021","9259","0","PXD008920"
"177","0.022","9271","0","PXD008920"
"178","0.023","9284","0","PXD008920"
"179","0.024","9295","0","PXD008920"
"180","0.025","9306","0","PXD008920"
"181","0.026","9327","0","PXD008920"
"182","0.027","9337","0","PXD008920"
"183","0.028","9344","0","PXD008920"
"184","0.029","9351","0","PXD008920"
"185","0.03","9364","0","PXD008920"
"186","0.031","9377","0","PXD008920"
"187","0.032","9394","0","PXD008920"
"188","0.033","9410","0","PXD008920"
"189","0.034","9414","0","PXD008920"
"190","0.035","9429","0","PXD008920"
"191","0.036","9445","0","PXD008920"
"192","0.037","9450","0","PXD008920"
"193","0.038","9462","0","PXD008920"
"194","0.039","9471","0","PXD008920"
"195","0.04","9483","0","PXD008920"
"196","0.041","9501","0","PXD008920"
"197","0.042","9511","0","PXD008920"
"198","0.043","9513","0","PXD008920"
"199","0.044","9524","0","PXD008920"
"200","0.045","9534","0","PXD008920"
"201","0.046","9555","0","PXD008920"
"202","0.047","9566","0","PXD008920"
"203","0.048","9580","0","PXD008920"
"204","0.049","9593","0","PXD008920"
"205","0.05","9609","0","PXD008920"
"206","0.01","9073","1","PXD008920"
"207","0.011","9107","1","PXD008920"
"208","0.012","9126","1","PXD008920"
"209","0.013","9179","1","PXD008920"
"210","0.014","9197","1","PXD008920"
"211","0.015","9235","1","PXD008920"
"212","0.016","9243","1","PXD008920"
"213","0.017","9288","1","PXD008920"
"214","0.018","9309","1","PXD008920"
"215","0.019","9318","1","PXD008920"
"216","0.02","9350","1","PXD008920"
"217","0.021","9362","1","PXD008920"
"218","0.022","9368","1","PXD008920"
"219","0.023","9384","1","PXD008920"
"220","0.024","9398","1","PXD008920"
"221","0.025","9407","1","PXD008920"
"222","0.026","9411","1","PXD008920"
"223","0.027","9417","1","PXD008920"
"224","0.028","9433","1","PXD008920"
"225","0.029","9444","1","PXD008920"
"226","0.03","9459","1","PXD008920"
"227","0.031","9480","1","PXD008920"
"228","0.032","9488","1","PXD008920"
"229","0.033","9495","1","PXD008920"
"230","0.034","9513","1","PXD008920"
"231","0.035","9527","1","PXD008920"
"232","0.036","9543","1","PXD008920"
"233","0.037","9553","1","PXD008920"
"234","0.038","9558","1","PXD008920"
"235","0.039","9574","1","PXD008920"
"236","0.04","9591","1","PXD008920"
"237","0.041","9620","1","PXD008920"
"238","0.042","9626","1","PXD008920"
"239","0.043","9638","1","PXD008920"
"240","0.044","9646","1","PXD008920"
"241","0.045","9656","1","PXD008920"
"242","0.046","9665","1","PXD008920"
"243","0.047","9673","1","PXD008920"
"244","0.048","9679","1","PXD008920"
"245","0.049","9699","1","PXD008920"
"246","0.05","9715","1","PXD008920"
"247","0.01","8844","0","PXD008996"
"248","0.011","8874","0","PXD008996"
"249","0.012","8905","0","PXD008996"
"250","0.013","8933","0","PXD008996"
"251","0.014","8961","0","PXD008996"
"252","0.015","8977","0","PXD008996"
"253","0.016","9007","0","PXD008996"
"254","0.017","9025","0","PXD008996"
"255","0.018","9051","0","PXD008996"
"256","0.019","9072","0","PXD008996"
"257","0.02","9096","0","PXD008996"
"258","0.021","9110","0","PXD008996"
"259","0.022","9114","0","PXD008996"
"260","0.023","9129","0","PXD008996"
"261","0.024","9142","0","PXD008996"
"262","0.025","9149","0","PXD008996"
"263","0.026","9166","0","PXD008996"
"264","0.027","9185","0","PXD008996"
"265","0.028","9196","0","PXD008996"
"266","0.029","9207","0","PXD008996"
"267","0.03","9220","0","PXD008996"
"268","0.031","9230","0","PXD008996"
"269","0.032","9244","0","PXD008996"
"270","0.033","9274","0","PXD008996"
"271","0.034","9286","0","PXD008996"
"272","0.035","9304","0","PXD008996"
"273","0.036","9316","0","PXD008996"
"274","0.037","9339","0","PXD008996"
"275","0.038","9351","0","PXD008996"
"276","0.039","9365","0","PXD008996"
"277","0.04","9376","0","PXD008996"
"278","0.041","9384","0","PXD008996"
"279","0.042","9399","0","PXD008996"
"280","0.043","9405","0","PXD008996"
"281","0.044","9434","0","PXD008996"
"282","0.045","9452","0","PXD008996"
"283","0.046","9463","0","PXD008996"
"284","0.047","9482","0","PXD008996"
"285","0.048","9497","0","PXD008996"
"286","0.049","9504","0","PXD008996"
"287","0.05","9513","0","PXD008996"
"288","0.01","8953","1","PXD008996"
"289","0.011","8966","1","PXD008996"
"290","0.012","9004","1","PXD008996"
"291","0.013","9026","1","PXD008996"
"292","0.014","9043","1","PXD008996"
"293","0.015","9062","1","PXD008996"
"294","0.016","9096","1","PXD008996"
"295","0.017","9143","1","PXD008996"
"296","0.018","9164","1","PXD008996"
"297","0.019","9181","1","PXD008996"
"298","0.02","9202","1","PXD008996"
"299","0.021","9218","1","PXD008996"
"300","0.022","9252","1","PXD008996"
"301","0.023","9267","1","PXD008996"
"302","0.024","9274","1","PXD008996"
"303","0.025","9287","1","PXD008996"
"304","0.026","9302","1","PXD008996"
"305","0.027","9308","1","PXD008996"
"306","0.028","9341","1","PXD008996"
"307","0.029","9354","1","PXD008996"
"308","0.03","9369","1","PXD008996"
"309","0.031","9372","1","PXD008996"
"310","0.032","9385","1","PXD008996"
"311","0.033","9395","1","PXD008996"
"312","0.034","9404","1","PXD008996"
"313","0.035","9410","1","PXD008996"
"314","0.036","9430","1","PXD008996"
"315","0.037","9452","1","PXD008996"
"316","0.038","9471","1","PXD008996"
"317","0.039","9478","1","PXD008996"
"318","0.04","9495","1","PXD008996"
"319","0.041","9513","1","PXD008996"
"320","0.042","9519","1","PXD008996"
"321","0.043","9525","1","PXD008996"
"322","0.044","9549","1","PXD008996"
"323","0.045","9561","1","PXD008996"
"324","0.046","9577","1","PXD008996"
"325","0.047","9596","1","PXD008996"
"326","0.048","9609","1","PXD008996"
"327","0.049","9617","1","PXD008996"
"328","0.05","9644","1","PXD008996"
"329","0.01","1786","0","PXD010413"
"330","0.011","1826","0","PXD010413"
"331","0.012","1828","0","PXD010413"
"332","0.013","1834","0","PXD010413"
"333","0.014","1882","0","PXD010413"
