"","Threshold","power_narrow","dcy_indx","PXID"
"155","0.041","709","1","PXD006856"
"156","0.042","709","1","PXD006856"
"157","0.043","711","1","PXD006856"
"158","0.044","711","1","PXD006856"
"159","0.045","711","1","PXD006856"
"160","0.046","711","1","PXD006856"
"161","0.047","712","1","PXD006856"
"162","0.048","712","1","PXD006856"
"163","0.049","712","1","PXD006856"
"164","0.05","712","1","PXD006856"
"165","0.01","8863","0","PXD008920"
"166","0.011","8880","0","PXD008920"
"167","0.012","8902","0","PXD008920"
"168","0.013","8908","0","PXD008920"
"169","0.014","8922","0","PXD008920"
"170","0.015","8949","0","PXD008920"
"171","0.016","8970","0","PXD008920"
"172","0.017","8990","0","PXD008920"
"173","0.018","9010","0","PXD008920"
"174","0.019","9031","0","PXD008920"
"175","0.02","9044","0","PXD008920"
"176","0.021","9071","0","PXD008920"
"177","0.022","9080","0","PXD008920"
"178","0.023","9100","0","PXD008920"
"179","0.024","9108","0","PXD008920"
"180","0.025","9116","0","PXD008920"
"181","0.026","9133","0","PXD008920"
"182","0.027","9144","0","PXD008920"
"183","0.028","9161","0","PXD008920"
"184","0.029","9175","0","PXD008920"
"185","0.03","9189","0","PXD008920"
"186","0.031","9197","0","PXD008920"
"187","0.032","9205","0","PXD008920"
"188","0.033","9215","0","PXD008920"
"189","0.034","9220","0","PXD008920"
"190","0.035","9237","0","PXD008920"
"191","0.036","9251","0","PXD008920"
"192","0.037","9260","0","PXD008920"
"193","0.038","9269","0","PXD008920"
"194","0.039","9275","0","PXD008920"
"195","0.04","9284","0","PXD008920"
"196","0.041","9297","0","PXD008920"
"197","0.042","9307","0","PXD008920"
"198","0.043","9317","0","PXD008920"
"199","0.044","9324","0","PXD008920"
"200","0.045","9330","0","PXD008920"
"201","0.046","9333","0","PXD008920"
"202","0.047","9350","0","PXD008920"
"203","0.048","9375","0","PXD008920"
"204","0.049","9388","0","PXD008920"
"205","0.05","9395","0","PXD008920"
"206","0.01","8856","1","PXD008920"
"207","0.011","8879","1","PXD008920"
"208","0.012","8894","1","PXD008920"
"209","0.013","8906","1","PXD008920"
"210","0.014","8916","1","PXD008920"
"211","0.015","8943","1","PXD008920"
"212","0.016","8953","1","PXD008920"
"213","0.017","8979","1","PXD008920"
"214","0.018","8990","1","PXD008920"
"215","0.019","9005","1","PXD008920"
"216","0.02","9011","1","PXD008920"
"217","0.021","9025","1","PXD008920"
"218","0.022","9059","1","PXD008920"
"219","0.023","9063","1","PXD008920"
"220","0.024","9075","1","PXD008920"
"221","0.025","9082","1","PXD008920"
"222","0.026","9087","1","PXD008920"
"223","0.027","9103","1","PXD008920"
"224","0.028","9126","1","PXD008920"
"225","0.029","9134","1","PXD008920"
"226","0.03","9147","1","PXD008920"
"227","0.031","9174","1","PXD008920"
"228","0.032","9177","1","PXD008920"
"229","0.033","9191","1","PXD008920"
"230","0.034","9194","1","PXD008920"
"231","0.035","9205","1","PXD008920"
"232","0.036","9215","1","PXD008920"
"233","0.037","9223","1","PXD008920"
"234","0.038","9239","1","PXD008920"
"235","0.039","9247","1","PXD008920"
"236","0.04","9255","1","PXD008920"
"237","0.041","9261","1","PXD008920"
"238","0.042","9269","1","PXD008920"
"239","0.043","9276","1","PXD008920"
"240","0.044","9285","1","PXD008920"
"241","0.045","9293","1","PXD008920"
