"","Threshold","power_open","dcy_indx","PXID"
"155","0.041","541","3","PXD002470"
"156","0.042","541","3","PXD002470"
"157","0.043","545","3","PXD002470"
"158","0.044","546","3","PXD002470"
"159","0.045","546","3","PXD002470"
"160","0.046","547","3","PXD002470"
"161","0.047","547","3","PXD002470"
"162","0.048","548","3","PXD002470"
"163","0.049","548","3","PXD002470"
"164","0.05","551","3","PXD002470"
"165","0.01","480","4","PXD002470"
"166","0.011","494","4","PXD002470"
"167","0.012","510","4","PXD002470"
"168","0.013","510","4","PXD002470"
"169","0.014","516","4","PXD002470"
"170","0.015","516","4","PXD002470"
"171","0.016","518","4","PXD002470"
"172","0.017","533","4","PXD002470"
"173","0.018","533","4","PXD002470"
"174","0.019","542","4","PXD002470"
"175","0.02","553","4","PXD002470"
"176","0.021","553","4","PXD002470"
"177","0.022","556","4","PXD002470"
"178","0.023","556","4","PXD002470"
"179","0.024","558","4","PXD002470"
"180","0.025","569","4","PXD002470"
"181","0.026","569","4","PXD002470"
"182","0.027","571","4","PXD002470"
"183","0.028","574","4","PXD002470"
"184","0.029","574","4","PXD002470"
"185","0.03","574","4","PXD002470"
"186","0.031","574","4","PXD002470"
"187","0.032","574","4","PXD002470"
"188","0.033","574","4","PXD002470"
"189","0.034","575","4","PXD002470"
"190","0.035","576","4","PXD002470"
"191","0.036","576","4","PXD002470"
"192","0.037","576","4","PXD002470"
"193","0.038","576","4","PXD002470"
"194","0.039","576","4","PXD002470"
"195","0.04","577","4","PXD002470"
"196","0.041","577","4","PXD002470"
"197","0.042","578","4","PXD002470"
"198","0.043","578","4","PXD002470"
"199","0.044","578","4","PXD002470"
"200","0.045","581","4","PXD002470"
"201","0.046","581","4","PXD002470"
"202","0.047","581","4","PXD002470"
"203","0.048","581","4","PXD002470"
"204","0.049","581","4","PXD002470"
"205","0.05","581","4","PXD002470"
"206","0.01","463","5","PXD002470"
"207","0.011","473","5","PXD002470"
"208","0.012","473","5","PXD002470"
"209","0.013","481","5","PXD002470"
"210","0.014","481","5","PXD002470"
"211","0.015","482","5","PXD002470"
"212","0.016","482","5","PXD002470"
"213","0.017","489","5","PXD002470"
"214","0.018","489","5","PXD002470"
"215","0.019","492","5","PXD002470"
"216","0.02","492","5","PXD002470"
"217","0.021","497","5","PXD002470"
"218","0.022","497","5","PXD002470"
"219","0.023","499","5","PXD002470"
"220","0.024","502","5","PXD002470"
"221","0.025","502","5","PXD002470"
"222","0.026","504","5","PXD002470"
"223","0.027","504","5","PXD002470"
"224","0.028","506","5","PXD002470"
"225","0.029","506","5","PXD002470"
"226","0.03","508","5","PXD002470"
"227","0.031","508","5","PXD002470"
"228","0.032","515","5","PXD002470"
"229","0.033","515","5","PXD002470"
"230","0.034","515","5","PXD002470"
"231","0.035","521","5","PXD002470"
"232","0.036","521","5","PXD002470"
"233","0.037","524","5","PXD002470"
"234","0.038","528","5","PXD002470"
"235","0.039","528","5","PXD002470"
"236","0.04","531","5","PXD002470"
"237","0.041","531","5","PXD002470"
"238","0.042","532","5","PXD002470"
"239","0.043","532","5","PXD002470"
"240","0.044","532","5","PXD002470"
"241","0.045","534","5","PXD002470"
"242","0.046","534","5","PXD002470"
"243","0.047","536","5","PXD002470"
"244","0.048","536","5","PXD002470"
"245","0.049","540","5","PXD002470"
"246","0.05","545","5","PXD002470"
"247","0.01","480","6","PXD002470"
"248","0.011","492","6","PXD002470"
"249","0.012","492","6","PXD002470"
"250","0.013","495","6","PXD002470"
"251","0.014","504","6","PXD002470"
"252","0.015","504","6","PXD002470"
"253","0.016","509","6","PXD002470"
"254","0.017","509","6","PXD002470"
"255","0.018","509","6","PXD002470"
"256","0.019","509","6","PXD002470"
"257","0.02","511","6","PXD002470"
"258","0.021","511","6","PXD002470"
"259","0.022","512","6","PXD002470"
"260","0.023","512","6","PXD002470"
"261","0.024","521","6","PXD002470"
"262","0.025","522","6","PXD002470"
"263","0.026","522","6","PXD002470"
"264","0.027","522","6","PXD002470"
"265","0.028","522","6","PXD002470"
"266","0.029","526","6","PXD002470"
"267","0.03","526","6","PXD002470"
"268","0.031","529","6","PXD002470"
"269","0.032","529","6","PXD002470"
"270","0.033","530","6","PXD002470"
"271","0.034","530","6","PXD002470"
"272","0.035","530","6","PXD002470"
"273","0.036","530","6","PXD002470"
"274","0.037","530","6","PXD002470"
"275","0.038","533","6","PXD002470"
"276","0.039","533","6","PXD002470"
"277","0.04","533","6","PXD002470"
"278","0.041","533","6","PXD002470"
"279","0.042","534","6","PXD002470"
