"","Threshold","power_narrow","dcy_indx","PXID"
"155","0.041","531","3","PXD002470"
"156","0.042","531","3","PXD002470"
"157","0.043","531","3","PXD002470"
"158","0.044","531","3","PXD002470"
"159","0.045","531","3","PXD002470"
"160","0.046","532","3","PXD002470"
"161","0.047","534","3","PXD002470"
"162","0.048","534","3","PXD002470"
"163","0.049","538","3","PXD002470"
"164","0.05","542","3","PXD002470"
"165","0.01","539","4","PXD002470"
"166","0.011","548","4","PXD002470"
"167","0.012","548","4","PXD002470"
"168","0.013","551","4","PXD002470"
"169","0.014","551","4","PXD002470"
"170","0.015","551","4","PXD002470"
"171","0.016","551","4","PXD002470"
"172","0.017","554","4","PXD002470"
"173","0.018","564","4","PXD002470"
"174","0.019","564","4","PXD002470"
"175","0.02","564","4","PXD002470"
"176","0.021","564","4","PXD002470"
"177","0.022","566","4","PXD002470"
"178","0.023","568","4","PXD002470"
"179","0.024","568","4","PXD002470"
"180","0.025","568","4","PXD002470"
"181","0.026","568","4","PXD002470"
"182","0.027","571","4","PXD002470"
"183","0.028","572","4","PXD002470"
"184","0.029","572","4","PXD002470"
"185","0.03","572","4","PXD002470"
"186","0.031","572","4","PXD002470"
"187","0.032","574","4","PXD002470"
"188","0.033","574","4","PXD002470"
"189","0.034","574","4","PXD002470"
"190","0.035","576","4","PXD002470"
"191","0.036","576","4","PXD002470"
"192","0.037","576","4","PXD002470"
"193","0.038","576","4","PXD002470"
"194","0.039","578","4","PXD002470"
"195","0.04","581","4","PXD002470"
"196","0.041","581","4","PXD002470"
"197","0.042","583","4","PXD002470"
"198","0.043","584","4","PXD002470"
"199","0.044","584","4","PXD002470"
"200","0.045","585","4","PXD002470"
"201","0.046","587","4","PXD002470"
"202","0.047","587","4","PXD002470"
"203","0.048","587","4","PXD002470"
"204","0.049","587","4","PXD002470"
"205","0.05","587","4","PXD002470"
"206","0.01","470","5","PXD002470"
"207","0.011","470","5","PXD002470"
"208","0.012","470","5","PXD002470"
"209","0.013","480","5","PXD002470"
"210","0.014","480","5","PXD002470"
"211","0.015","485","5","PXD002470"
"212","0.016","485","5","PXD002470"
"213","0.017","485","5","PXD002470"
"214","0.018","485","5","PXD002470"
"215","0.019","485","5","PXD002470"
"216","0.02","485","5","PXD002470"
"217","0.021","497","5","PXD002470"
"218","0.022","501","5","PXD002470"
"219","0.023","501","5","PXD002470"
"220","0.024","506","5","PXD002470"
"221","0.025","506","5","PXD002470"
"222","0.026","513","5","PXD002470"
"223","0.027","513","5","PXD002470"
"224","0.028","517","5","PXD002470"
"225","0.029","517","5","PXD002470"
"226","0.03","517","5","PXD002470"
"227","0.031","518","5","PXD002470"
"228","0.032","518","5","PXD002470"
"229","0.033","521","5","PXD002470"
"230","0.034","521","5","PXD002470"
"231","0.035","521","5","PXD002470"
"232","0.036","521","5","PXD002470"
"233","0.037","524","5","PXD002470"
"234","0.038","527","5","PXD002470"
"235","0.039","527","5","PXD002470"
"236","0.04","529","5","PXD002470"
"237","0.041","529","5","PXD002470"
"238","0.042","530","5","PXD002470"
"239","0.043","530","5","PXD002470"
"240","0.044","531","5","PXD002470"
"241","0.045","534","5","PXD002470"
"242","0.046","534","5","PXD002470"
"243","0.047","535","5","PXD002470"
"244","0.048","535","5","PXD002470"
"245","0.049","535","5","PXD002470"
"246","0.05","541","5","PXD002470"
"247","0.01","481","6","PXD002470"
"248","0.011","481","6","PXD002470"
"249","0.012","481","6","PXD002470"
"250","0.013","483","6","PXD002470"
"251","0.014","483","6","PXD002470"
"252","0.015","484","6","PXD002470"
"253","0.016","484","6","PXD002470"
"254","0.017","486","6","PXD002470"
"255","0.018","486","6","PXD002470"
"256","0.019","487","6","PXD002470"
"257","0.02","487","6","PXD002470"
"258","0.021","488","6","PXD002470"
"259","0.022","488","6","PXD002470"
"260","0.023","489","6","PXD002470"
"261","0.024","489","6","PXD002470"
"262","0.025","494","6","PXD002470"
"263","0.026","494","6","PXD002470"
"264","0.027","497","6","PXD002470"
"265","0.028","497","6","PXD002470"
"266","0.029","497","6","PXD002470"
"267","0.03","497","6","PXD002470"
"268","0.031","497","6","PXD002470"
"269","0.032","497","6","PXD002470"
"270","0.033","499","6","PXD002470"
"271","0.034","502","6","PXD002470"
"272","0.035","502","6","PXD002470"
"273","0.036","513","6","PXD002470"
"274","0.037","515","6","PXD002470"
"275","0.038","515","6","PXD002470"
"276","0.039","516","6","PXD002470"
